id,causal_linkage_tier,causal_tier,expression_trend,expression_log2fc,therapeutic_alignment,therapeutic_recommendation,systemic_toxicity_risk,strategy_type,perturbation_ace,essentiality_tag,evidence_count,pathways,cell_types_active_in,regulating_snps,paracrine_targets,has_disease_link,has_pathway_link,eqtl_causal_direction,mean_eQTL_Z,max_eQTL_Z,mean_GWAS_Z,mean_GWAS_pval,min_GWAS_pval,n_snps_used,n_eQTL_variants,Evidence_Strength,Gene_Genetic_Confidence_Score,OR,CI_low,CI_high,mr_beta,mr_se,mr_pval,mr_direction,confidence_tier,method,is_gwas_hit,genetic_confidence_score,in_mr_risk,in_mr_protective,in_mr_any,in_eqtl,in_gwas
CSNK2B,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs2445689,,Yes,No,Risk,-5.578976151,-5.578976151,-5.167661592,2.37E-07,2.37E-07,1,1,Low,0.111095092,14.8812644,5.344153012,41.43819042,2.700102999,0.522499965,2.37E-07,Higher expression -> higher risk,Weak,Wald ratio,FALSE,0.111095092,TRUE,FALSE,TRUE,TRUE,FALSE
HSD17B8,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs2855448,,Yes,No,Protective,-6.202632948,-6.202632948,4.857933886,1.19E-06,1.19E-06,1,1,Low,0.109857491,3.92685192,2.261356951,6.818988042,1.367838067,0.281567864,1.19E-06,Higher expression -> higher risk,Weak,Wald ratio,FALSE,0.109857491,TRUE,FALSE,TRUE,TRUE,FALSE
ZFP28,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs4801174,,Yes,No,Protective,12.88046707,12.88046707,-2.504646014,0.0122574,0.0122574,1,1,Low,0.108232307,0.816737865,0.697081211,0.956934041,-0.202437086,0.080824629,0.0122574,Higher expression -> lower risk (protective),Weak,Wald ratio,FALSE,0.108232307,FALSE,FALSE,TRUE,TRUE,FALSE
FKBPL,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,2,,,rs6904786,,Yes,No,Protective,7.003658033,7.003658033,-4.461656812,8.13E-06,8.13E-06,1,1,Low,0.107996652,0.477279823,0.344872454,0.660522541,-0.739652329,0.165779745,8.13E-06,Higher expression -> lower risk (protective),Weak,Wald ratio,TRUE,0.107996652,FALSE,TRUE,TRUE,TRUE,TRUE
PLEKHJ1,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs76064118,,Yes,No,Risk,6.957795493,6.957795493,4.474537184,7.66E-06,7.66E-06,1,1,Low,0.107892325,3.620733961,2.060746764,6.361632903,1.286676757,0.287555272,7.66E-06,Higher expression -> higher risk,Weak,Wald ratio,FALSE,0.107892325,TRUE,FALSE,TRUE,TRUE,FALSE
TCTN3,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs1342790,,Yes,No,Protective,11.72015931,11.72015931,-2.796588278,0.00516453,0.00516453,1,1,Low,0.106806878,1.446898759,1.116848933,1.874484505,0.369422479,0.132097557,0.00516453,Higher expression -> higher risk,Weak,Wald ratio,FALSE,0.106806878,TRUE,FALSE,TRUE,TRUE,FALSE
ZC3H12C,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs7126991,,Yes,No,Risk,-8.312187367,-8.312187367,-3.902701725,9.51E-05,9.51E-05,1,1,Low,0.106268209,0.680952508,0.561442636,0.825901504,-0.384262714,0.098460692,9.51E-05,Higher expression -> lower risk (protective),Weak,Wald ratio,FALSE,0.106268209,FALSE,TRUE,TRUE,TRUE,FALSE
DUS2,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs7197756,,Yes,No,Risk,14.27806765,14.27806765,2.010451731,0.0443834,0.0443834,1,1,Low,0.105701934,1.229221996,1.00519252,1.503181416,0.206381446,0.102654265,0.0443834,Higher expression -> higher risk,Weak,Wald ratio,FALSE,0.105701934,FALSE,FALSE,TRUE,TRUE,FALSE
ANKRD27,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,2,,,rs149787172,,Yes,No,Risk,17.08440945,17.08440945,1.27385164,0.202716,0.202716,1,1,Low,0.105506292,1.095241507,0.952178481,1.259799484,0.090974893,0.071417181,0.202716,Higher expression -> higher risk,Not_significant,Wald ratio,TRUE,0.105506292,FALSE,FALSE,TRUE,TRUE,TRUE
PPIEL,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs79473113,,Yes,No,Protective,-14.13399336,-14.13399336,2.018038998,0.0435872,0.0435872,1,1,Low,0.104856351,0.86144424,0.745276137,0.995719763,-0.149144949,0.073905881,0.0435872,Higher expression -> lower risk (protective),Weak,Wald ratio,FALSE,0.104856351,FALSE,FALSE,TRUE,TRUE,FALSE
OLFM4,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,1.572,Aggravating,Context-Dependent,Low,Unknown,0.0196,Weak/Contextual,1,,,rs17552047,,Yes,No,Risk,-21.49510454,-21.49510454,-0.244859786,0.806565,0.806565,1,1,Low,0.104588759,1.017633144,0.884762123,1.17045835,0.017479483,0.071385684,0.806565,Higher expression -> higher risk,Not_significant,Wald ratio,FALSE,0.104588759,FALSE,FALSE,TRUE,TRUE,FALSE
FCRL3,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,2,,,rs3761959,,Yes,No,Risk,16.81873264,16.81873264,1.24520066,0.213058,0.213058,1,1,Low,0.102889045,1.142588535,0.926336339,1.409324567,0.133296333,0.107048075,0.213058,Higher expression -> higher risk,Not_significant,Wald ratio,TRUE,0.102889045,FALSE,FALSE,TRUE,TRUE,TRUE
HAS1,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs7252496,,Yes,No,Protective,13.66235499,13.66235499,-2.057551567,0.0396332,0.0396332,1,1,Low,0.102462436,0.866855774,0.756546671,0.993248615,-0.142882666,0.069443055,0.0396332,Higher expression -> lower risk (protective),Weak,Wald ratio,FALSE,0.102462436,FALSE,FALSE,TRUE,TRUE,FALSE
FBN2,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,2,,,rs78904363,,Yes,No,Risk,20.67654777,20.67654777,0.345905148,0.729414,0.729414,1,1,Low,0.102445647,1.021526541,0.905395639,1.152553015,0.021298117,0.061572131,0.729414,Higher expression -> higher risk,Not_significant,Wald ratio,TRUE,0.102445647,FALSE,FALSE,TRUE,TRUE,TRUE
RNASE2,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,Biological process involved in interspecies interaction between organisms | Defense response | Defense response to other organism | Defense response to virus | Immune System | Immune response | Immune system process | Innate immune response | Response to biotic stimulus | Response to external stimulus | Response to other organism | Response to stress,,rs2233859,,Yes,Yes,Risk,12.19945336,12.19945336,2.465919615,0.0136662,0.0136662,1,1,Low,0.1021315,1.304048666,1.055976408,1.610398595,0.265473784,0.107657112,0.0136662,Higher expression -> higher risk,Weak,Wald ratio,FALSE,0.1021315,FALSE,FALSE,TRUE,TRUE,FALSE
NAA60,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs17525883,,Yes,No,Protective,-13.80062293,-13.80062293,1.981485088,0.0475369,0.0475369,1,1,Low,0.10148117,0.694450867,0.484172498,0.996054109,-0.364633865,0.184020494,0.0475369,Higher expression -> lower risk (protective),Weak,Wald ratio,FALSE,0.10148117,FALSE,FALSE,TRUE,TRUE,FALSE
TMEM170B,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs552681,,Yes,No,Protective,-13.79018242,-13.79018242,1.964998596,0.0494144,0.0494144,1,1,Low,0.100974832,0.810240081,0.65684049,0.999464861,-0.210424678,0.107086427,0.0494144,Higher expression -> lower risk (protective),Weak,Wald ratio,FALSE,0.100974832,FALSE,FALSE,TRUE,TRUE,FALSE
WIPI1,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs78095701,,Yes,No,Risk,-13.09850997,-13.09850997,-2.136534156,0.0326359,0.0326359,1,1,Low,0.100391699,1.412131613,1.028924831,1.938057699,0.345100345,0.161523439,0.0326359,Higher expression -> higher risk,Weak,Wald ratio,FALSE,0.100391699,FALSE,FALSE,TRUE,TRUE,FALSE
HES4,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,1.718,Reversal,Context-Dependent,Low,Unknown,-0.0535,Moderate dependency,1,,,rs3128113,,Yes,No,Protective,-9.270032847,-9.270032847,3.295667646,0.000981881,0.000981881,1,1,Low,0.099815118,1.654598399,1.226398755,2.232304827,0.50355832,0.152794024,0.000981881,Higher expression -> higher risk,Weak,Wald ratio,FALSE,0.099815118,TRUE,FALSE,TRUE,TRUE,FALSE
BSPRY,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs7873862,,Yes,No,Protective,-13.22474883,-13.22474883,2.064600668,0.0389608,0.0389608,1,1,Low,0.099458599,0.818988262,0.677562004,0.989934161,-0.199685527,0.096718717,0.0389608,Higher expression -> lower risk (protective),Weak,Wald ratio,FALSE,0.099458599,FALSE,FALSE,TRUE,TRUE,FALSE
DTD1,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs117218293,,Yes,No,Risk,9.065271559,9.065271559,3.343457053,0.000827415,0.000827415,1,1,Low,0.099314426,1.391168148,1.146377573,1.688229831,0.330143789,0.098743242,0.000827415,Higher expression -> higher risk,Weak,Wald ratio,FALSE,0.099314426,TRUE,FALSE,TRUE,TRUE,FALSE
CD40,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,2,Allograft rejection | Asthma | Autoimmune thyroid disease | Cell adhesion molecules | Human T-cell leukemia virus 1 infection | Intestinal immune network for IgA production | Positive regulation of MAPK cascade | Positive regulation of leukocyte activation | Positive regulation of lymphocyte activation | Regulation of leukocyte proliferation | Regulation of lymphocyte proliferation | Systemic lupus erythematosus | Toxoplasmosis | Viral myocarditis,,rs745307,,Yes,Yes,Protective,18.96658144,18.96658144,-0.590817064,0.554643,0.554643,1,1,Low,0.098659037,0.953342886,0.813597059,1.117091868,-0.047780644,0.080872146,0.554643,Higher expression -> lower risk (protective),Not_significant,Wald ratio,TRUE,0.098659037,FALSE,FALSE,TRUE,TRUE,TRUE
TAP1,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs2071480,,Yes,No,Risk,6.634599946,6.634599946,4.146506229,3.38E-05,3.38E-05,1,1,Low,0.097813647,3.618335326,1.970193591,6.645210192,1.286014065,0.310144009,3.38E-05,Higher expression -> higher risk,Weak,Wald ratio,FALSE,0.097813647,TRUE,FALSE,TRUE,TRUE,FALSE
FXYD5,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,Regulation of cell adhesion | Regulation of cell-cell adhesion,,rs886137,,Yes,Yes,Protective,-11.62404976,-11.62404976,2.463463252,0.0137602,0.0137602,1,1,Low,0.097754348,0.615918903,0.418853927,0.905700222,-0.484639976,0.196731157,0.0137602,Higher expression -> lower risk (protective),Weak,Wald ratio,FALSE,0.097754348,FALSE,FALSE,TRUE,TRUE,FALSE
SNRPC,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,2,,CD4.positive..alpha.beta.T.cell | CD8.positive..alpha.beta.T.cell | lymphocyte | natural.killer.cell | plasmablast | plasmacytoid.dendritic.cell | progenitor.cell,rs9469835,,Yes,No,Protective,-6.170556451,-6.170556451,4.288146811,1.80E-05,1.80E-05,1,1,Low,0.097030723,0.221416515,0.11115336,0.44105975,-1.507709666,0.351599358,1.80E-05,Higher expression -> lower risk (protective),Weak,Wald ratio,TRUE,0.097030723,FALSE,TRUE,TRUE,TRUE,TRUE
SLC25A19,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,2,,,rs55762977,,Yes,No,Risk,-5.837838061,-5.837838061,-4.395730186,1.10E-05,1.10E-05,1,1,Low,0.096557327,2.9087393,1.806944219,4.682360545,1.067719757,0.242899294,1.10E-05,Higher expression -> higher risk,Weak,Wald ratio,TRUE,0.096557327,TRUE,FALSE,TRUE,TRUE,TRUE
ATP5PO,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs2032311,,Yes,No,Risk,7.249176153,7.249176153,3.857704299,0.000114457,0.000114457,1,1,Low,0.096454077,0.245859306,0.120534193,0.50149088,-1.402995833,0.363686723,0.000114457,Higher expression -> lower risk (protective),Weak,Wald ratio,FALSE,0.096454077,FALSE,TRUE,TRUE,TRUE,FALSE
APOBEC3G,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,Defense response to virus | Ribonucleoside catabolic process | Ribonucleoside metabolic process,,rs28583464,,Yes,Yes,Risk,-12.7910168,-12.7910168,-2.053748911,0.04,0.04,1,1,Low,0.096021607,1.268079242,1.010900463,1.590685754,0.237503348,0.11564381,0.04,Higher expression -> higher risk,Weak,Wald ratio,FALSE,0.096021607,FALSE,FALSE,TRUE,TRUE,FALSE
LIMK1,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,2,,,rs452089,,Yes,No,Risk,18.46883742,18.46883742,0.604906687,0.545241,0.545241,1,1,Low,0.095832972,0.95846079,0.835357027,1.099705941,-0.042426625,0.070137471,0.545241,Higher expression -> lower risk (protective),Not_significant,Wald ratio,TRUE,0.095832972,FALSE,FALSE,TRUE,TRUE,TRUE
SYNM,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs260112,,Yes,No,Risk,-11.41739932,-11.41739932,-2.44686701,0.0144104,0.0144104,1,1,Low,0.095792253,1.276039283,1.049697999,1.551185439,0.243760971,0.099621667,0.0144104,Higher expression -> higher risk,Weak,Wald ratio,FALSE,0.095792253,FALSE,FALSE,TRUE,TRUE,FALSE
ATP6V1G2,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs2239705,,Yes,No,Protective,9.014384599,9.014384599,-3.129587381,0.00175052,0.00175052,1,1,Low,0.093871799,0.756059427,0.63459678,0.900770182,-0.279635299,0.08935213,0.00175052,Higher expression -> lower risk (protective),Weak,Wald ratio,FALSE,0.093871799,FALSE,TRUE,TRUE,TRUE,FALSE
ZNF322,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs6911540,,Yes,No,Risk,-12.67136845,-12.67136845,-1.999824667,0.0455192,0.0455192,1,1,Low,0.093774414,0.807102242,0.6542,0.995741408,-0.214304925,0.107161857,0.0455192,Higher expression -> lower risk (protective),Weak,Wald ratio,FALSE,0.093774414,FALSE,FALSE,TRUE,TRUE,FALSE
DHRS9,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,1.252,Aggravating,Context-Dependent,Low,Unknown,0.134,Weak/Contextual,1,,,rs736020,,Yes,No,Protective,19.74645748,19.74645748,-0.249651329,0.802857,0.802857,1,1,Low,0.093709127,0.968096553,0.750527984,1.248735496,-0.032423452,0.129874943,0.802857,Higher expression -> lower risk (protective),Not_significant,Wald ratio,FALSE,0.093709127,FALSE,FALSE,TRUE,TRUE,FALSE
SAMD9L,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,1.504,Reversal,Context-Dependent,Low,Unknown,-0.0533,Moderate dependency,1,,,rs75504870,,Yes,No,Risk,-17.05132906,-17.05132906,-0.839981071,0.400919,0.400919,1,1,Low,0.093179888,1.107774158,0.872427519,1.406608066,0.102352739,0.121851245,0.400919,Higher expression -> higher risk,Not_significant,Wald ratio,FALSE,0.093179888,FALSE,FALSE,TRUE,TRUE,FALSE
PRORP,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs12100841,,Yes,No,Protective,11.72864574,11.72864574,-2.224219198,0.0261337,0.0261337,1,1,Low,0.092553914,0.818100532,0.685442785,0.976432307,-0.200770051,0.090265407,0.0261337,Higher expression -> lower risk (protective),Weak,Wald ratio,FALSE,0.092553914,FALSE,FALSE,TRUE,TRUE,FALSE
OASL,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,2.058,Reversal,Context-Dependent,Low,Unknown,-0.0116,Moderate dependency,1,Antiviral mechanism by IFN-stimulated genes | Biological process involved in interspecies interaction between organisms | Defense response | Defense response to other organism | Defense response to virus | Immune System | Immune response | Immune system process | Innate immune response | Interferon alpha/beta signaling | Negative regulation of viral genome replication | Negative regulation of viral process | OAS antiviral response | Positive regulation of pattern recognition receptor signaling pathway | Regulation of immune response | Regulation of response to biotic stimulus | Regulation of response to external stimulus | Regulation of ribonuclease activity | Regulation of viral life cycle | Response to biotic stimulus | Response to external stimulus | Response to other organism | Response to stress | interleukin-27-mediated signaling pathway,,rs2260445,,Yes,Yes,Risk,10.65256734,10.65256734,2.533545748,0.0112915,0.0112915,1,1,Low,0.092181446,1.291758478,1.059666733,1.574683732,0.256004452,0.101045916,0.0112915,Higher expression -> higher risk,Weak,Wald ratio,FALSE,0.092181446,FALSE,FALSE,TRUE,TRUE,FALSE
MKNK1-AS1,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs3766240,,Yes,No,Protective,-10.51395025,-10.51395025,2.573285739,0.0100738,0.0100738,1,1,Low,0.092104756,1.569000224,1.113326167,2.21117744,0.450438616,0.175044151,0.0100738,Higher expression -> higher risk,Weak,Wald ratio,FALSE,0.092104756,FALSE,FALSE,TRUE,TRUE,FALSE
DSE,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,2,,,rs17077996,,Yes,No,Protective,-14.97556115,-14.97556115,1.312332414,0.189408,0.189408,1,1,Low,0.092075213,0.847746249,0.662413599,1.084931987,-0.165173923,0.125862869,0.189408,Higher expression -> lower risk (protective),Not_significant,Wald ratio,TRUE,0.092075213,FALSE,FALSE,TRUE,TRUE,TRUE
GATM,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs11858495,,Yes,No,Protective,-11.08213888,-11.08213888,2.360435342,0.0182535,0.0182535,1,1,Low,0.091149076,0.786877192,0.644870853,0.960154601,-0.239683088,0.101541899,0.0182535,Higher expression -> lower risk (protective),Weak,Wald ratio,FALSE,0.091149076,FALSE,FALSE,TRUE,TRUE,FALSE
IL15RA,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs8177637,,Yes,No,Protective,-12.96189155,-12.96189155,1.779154717,0.0752144,0.0752144,1,1,Low,0.090213414,1.167531133,0.984379088,1.384760164,0.154891377,0.08705897,0.0752144,Higher expression -> higher risk,Not_significant,Wald ratio,FALSE,0.090213414,FALSE,FALSE,TRUE,TRUE,FALSE
NIPSNAP3A,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs10820724,,Yes,No,Risk,11.36599048,11.36599048,2.234223058,0.0254684,0.0254684,1,1,Low,0.09012939,0.742059868,0.57118908,0.964046526,-0.298325354,0.133525322,0.0254684,Higher expression -> lower risk (protective),Weak,Wald ratio,FALSE,0.09012939,FALSE,FALSE,TRUE,TRUE,FALSE
L3HYPDH,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs1253176,,Yes,No,Risk,11.39489179,11.39489179,2.217600262,0.0265821,0.0265821,1,1,Low,0.089929717,0.819222584,0.686852075,0.977103609,-0.199399457,0.089916772,0.0265821,Higher expression -> lower risk (protective),Weak,Wald ratio,FALSE,0.089929717,FALSE,FALSE,TRUE,TRUE,FALSE
CD274,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,1.106,Aggravating,Context-Dependent,Low,Unknown,0.1743,Weak/Contextual,1,Biological process involved in interspecies interaction between organisms | Cellular response to organic substance | Immune System | Immune response | Immune system process | Interactions between immune cells and microRNAs in tumor microenvironment | Positive regulation of immune response | Regulation of immune response | Response to bacterium | Response to biotic stimulus | Response to external stimulus | Response to organic substance | Response to other organism,,rs59906468,,Yes,Yes,Protective,10.74438746,10.74438746,-2.411368083,0.0158928,0.0158928,1,1,Low,0.089882041,0.699145565,0.522672413,0.93520245,-0.357896311,0.14842044,0.0158928,Higher expression -> lower risk (protective),Weak,Wald ratio,FALSE,0.089882041,FALSE,FALSE,TRUE,TRUE,FALSE
ICAM3,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs2304240,,Yes,No,Protective,-8.23562813,-8.23562813,3.211634877,0.00131982,0.00131982,1,1,Low,0.08964966,2.427845142,1.412953616,4.171709508,0.887004091,0.276184599,0.00131982,Higher expression -> higher risk,Weak,Wald ratio,FALSE,0.08964966,TRUE,FALSE,TRUE,TRUE,FALSE
H4C8,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs2393593,,Yes,No,Protective,-8.086569457,-8.086569457,3.261529248,0.00110813,0.00110813,1,1,Low,0.089621749,1.429709208,1.153326742,1.772323787,0.357471072,0.109602289,0.00110813,Higher expression -> higher risk,Weak,Wald ratio,FALSE,0.089621749,TRUE,FALSE,TRUE,TRUE,FALSE
BLOC1S2,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs35614792,,Yes,No,Protective,7.85606777,7.85606777,-3.33370336,0.00085698,0.00085698,1,1,Low,0.089448576,0.409354661,0.242125038,0.692085541,-0.893173358,0.267922266,0.00085698,Higher expression -> lower risk (protective),Weak,Wald ratio,FALSE,0.089448576,FALSE,TRUE,TRUE,TRUE,FALSE
MMEL1,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs745368,,Yes,No,Risk,-10.94322902,-10.94322902,-2.309228588,0.0209309,0.0209309,1,1,Low,0.088855817,1.166776237,1.023600868,1.329978149,0.154244593,0.066794857,0.0209309,Higher expression -> higher risk,Weak,Wald ratio,FALSE,0.088855817,FALSE,FALSE,TRUE,TRUE,FALSE
WSB1,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs2270759,,Yes,No,Protective,11.32970907,11.32970907,-2.173551954,0.0297388,0.0297388,1,1,Low,0.088357133,0.601857814,0.380761106,0.95133884,-0.50773405,0.233596464,0.0297388,Higher expression -> lower risk (protective),Weak,Wald ratio,FALSE,0.088357133,FALSE,FALSE,TRUE,TRUE,FALSE
IMP4,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs11542416,,Yes,No,Protective,11.07468095,11.07468095,-2.230558324,0.0257104,0.0257104,1,1,Low,0.087890444,0.67493126,0.477781425,0.953432223,-0.39314443,0.176253822,0.0257104,Higher expression -> lower risk (protective),Weak,Wald ratio,FALSE,0.087890444,FALSE,FALSE,TRUE,TRUE,FALSE
RNASE3,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,Biological process involved in interspecies interaction between organisms | Defense response | Defense response to other organism | Innate immune response | Response to biotic stimulus | Response to other organism,,rs2233859,,Yes,Yes,Risk,10.29049897,10.29049897,2.465919615,0.0136662,0.0136662,1,1,Low,0.087813294,1.344018969,1.062537466,1.700068981,0.295664356,0.119900241,0.0136662,Higher expression -> higher risk,Weak,Wald ratio,FALSE,0.087813294,FALSE,FALSE,TRUE,TRUE,FALSE
ESRG,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,1.155,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs10510769,,Yes,No,Protective,19.14858107,19.14858107,-0.174101111,0.861786,0.861786,1,1,Low,0.087747279,0.984256067,0.823228306,1.1767817,-0.015869185,0.091149247,0.861786,Higher expression -> lower risk (protective),Not_significant,Wald ratio,FALSE,0.087747279,FALSE,FALSE,TRUE,TRUE,FALSE
LHPP,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs908367,,Yes,No,Protective,-11.3406264,-11.3406264,2.143704143,0.0320566,0.0320566,1,1,Low,0.087696886,1.382519251,1.028145974,1.859035126,0.323907379,0.151097053,0.0320566,Higher expression -> higher risk,Weak,Wald ratio,FALSE,0.087696886,FALSE,FALSE,TRUE,TRUE,FALSE
ADI1,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs1130165,,Yes,No,Risk,10.6553251,10.6553251,2.349128727,0.0188174,0.0188174,1,1,Low,0.087695738,1.323129194,1.047473834,1.671326585,0.279999533,0.119192929,0.0188174,Higher expression -> higher risk,Weak,Wald ratio,FALSE,0.087695738,FALSE,FALSE,TRUE,TRUE,FALSE
ITPKC,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs3745213,,Yes,No,Protective,-5.695099637,-5.695099637,4.040140457,5.34E-05,5.34E-05,1,1,Low,0.087600427,0.216267616,0.102890392,0.454577741,-1.531238674,0.379006297,5.34E-05,Higher expression -> lower risk (protective),Weak,Wald ratio,FALSE,0.087600427,FALSE,TRUE,TRUE,TRUE,FALSE
